Campaign,Campaign Type,Budget,Bid Strategy,Include Search Partners,Status
US_Search_Repair_Winners_2026-03,Search,10,Maximize Clicks,Disabled,Paused
US_Search_Tools_Specs_2026-03,Search,6,Maximize Clicks,Disabled,Paused
US_Search_Wiring_Intent_2026-03,Search,3,Maximize Clicks,Disabled,Paused
